Name,also called or related to,Description,Advantages over other metrics,Question answered,Designed for Reproducibility,Type of reproducibility named in included paper(s),Type of Reproducibility investigated,Related iRISE glossary term,Scenario of application,Purpose of Metric,Purpose of Metric - explanaition,Type of metric,Type of assessment,Implementation of Metric,Data Input,Assumptions,Limitations,First mention in,Discussed in,Used in
Bayes Factor: Independent Jeffreys-Zellner-Siow BF test,default BF,"This test compares the null hypothesis that the effect size is zero against an alternative hypothesis that the effect is not zero. Suppose $H_0: \theta = 0$ and $H_1: \theta \sim \mbox{Cauchy}(0, 1)$, then the Bayes factor is defined as $$B_{10} = \frac{f(Y \  | \ H_1)}{f(Y \  | \ H_0)},$$ where $f(Y  \  | \ H_i)$ is the marginal likelihood of the data $Y$ under hypothesis $H_i$ with $i \in \{0, 1\}$. $B_{10}$ higher than 1 indicate support for $H_1$, whereas lower than 1 indicate support for $H_0$. In the replication setting, the Bayes factor is used to test the absence or presence of an effect in the replication study. Note that the Jeffreys-Zellner-Siow prior is a prior that is specifically designed for the t-test / linear regression setting (normal data with unknown mean and variance).",(1) Can quantify the evidence for the null hypothesis (2) Can be specifically useful in detecting effects that are present but much smaller in magnitude than those from the original experiment,"""What is the evidence for the effect being present or absent in light of a replication attempt, given that we know relatively little about the expected effect size beforehand?""",No,Replication,Different data - same analysis,Reproducibility (direct and conceptual replication),Two exchangeable studies: one original and one replication,To quantify (continuous) ,Quantifies support for either hypothesis,A formula,Quantitative and objective,"Unclear implementation and/or hard to implement from scratch, but authors Ready-to-use open source tool: provide R code \href{https://www.josineverhagen.com/?page_id=76}{https://www.josineverhagen.com/?page_id=76}",Results - numbers and tables,,(1) Disregards results from original study,,"\cite{verhagen_bayesian_2014, verhagen_bayesian_2014-1, heirene_call_2021, muradchanian_how_2021}",\cite{wagenmakers_registered_2016}
Bayes Factor: Equality-of-effect-size BF test,,"This test compares the null hypothesis that the effect sizes from two experiments ($o$ and $r$ for original and replication) are equal against an alternative hypothesis that they are not. Suppose $H_0: \theta_o = \theta_r$ and $H_1: \theta_o \neq \theta_r$, then the equality-of-effect-size Bayes factor is defined as $$B_{01} = \frac{f(Y_o, Y_r\  | \ H_0)}{f(Y_o, Y_r \  | \ H_1)},$$ where $f(Y_o, Y_r  \  | \ H_i)$ is the marginal likelihood of the data under hypothesis $H_i$ with $i \in \{0, 1\}$. $B_{01}$ higher than 1 indicate support for $H_0$ and is indicative of a successful replication.",(1) Can quantify the evidence for both hypotheses,"""What is the evidence for the effect size in the replication attempt being equal vs. unequal to the effect size in the original study?""",No,Replication,Different data - same analysis,Reproducibility (direct and conceptual replication),Two exchangeable studies: one original and one replication,To quantify (continuous) ,"Quantifies support for successful replication, null hypothesis",A formula,Quantitative and objective,"Unclear implementation and/or hard to implement from scratch, but Ready-to-use open source tool: authors provide R code \href{https://www.josineverhagen.com/?page_id=76}{https://www.josineverhagen.com/?page_id=76}",Results - numbers and tables,(1) There is one true underlying effect size from which the effect sizes in the original and replication study deviate with a certain variance,"(1) Not useful for a skeptic who has grounds to doubt the findings from an original experiment, because the test ignores the possibility that the effect is absent.",\cite{bayarri_bayesian_2002},"\cite{verhagen_bayesian_2014, verhagen_bayesian_2014-1}",
Bayes Factor: Fixed-effect meta-analysis BF Test,Meta-analytic BF,"The meta-analytic Bayes factor quantifies the evidence provided by the data of several experiments/studies for the hypothesis that the true effect is present ($H_1$) versus absent ($H_0$): $$B_{10} = \frac{f(Y_1, ..., Y_M \  | \ H_1)}{f(Y_1, ... Y_M \  | \ H_0)},$$  where $f(\dots \ | \ H_i)$ is the marginal likelihood of the data under hypothesis $H_i$ with $i \in \{0, 1\}$. A high $B_{10}$ indicates that the evidence from the pooled data supports $H_1$. ",(1) Can quantify the evidence for the null hypothesis,"""When pooling all data, what is the evidence for the effect being present vs. absent?""",No,Replication,Different data - same analysis,Reproducibility (direct and conceptual replication),A series of exchangeable studies: one original and many replications; many replications without an original,To quantify (continuous) ,Quantifies the evidence from the pooled data in support of either hypothesis,A formula,Quantitative and objective,"Unclear implementation and/or hard to implement from scratch, but Ready-to-use open source tool: authors provide R code \href{https://www.josineverhagen.com/?page_id=76}{https://www.josineverhagen.com/?page_id=76}",Results - numbers and tables,(1) Treats a series of results as exchangeable (2) There is a single true underlying effect size and the observed effect sizes all fluctuate around this true value (3) All experiments are independent,"(1) Not useful for a sceptic who has grounds to doubt the findings from an original experiment, because this test assumes that  that the data from the original experiment and the replication experiment are exchangeable",\cite{rouder_default_2012},"\cite{verhagen_bayesian_2014, verhagen_bayesian_2014-1, muradchanian_how_2021}",\cite{coretta_multidimensional_2023}
Replication Bayes factor,,"The replication Bayes factor tests the proponent's replication hypothesis $H_r: \theta \sim $posterior distribution from original study vs the null hypothesis $H_0: \theta = 0$ of a skeptic who has reason to doubt the presence of an effect: $$B_{r0} = \frac{f(Y_r \  | \ H_r)}{f(Y_r \  | \ H_0)},$$ where $f(Y_r \ | \ H_i)$ is the marginal likelihood of the data under hypothesis $H_i$ with $i \in \{0, 1\}$.The higher the $B_{r0}$ the more evidence for the replication hypothesis.","(1) Summarizes the proponent's beliefs by an entire distribution of effects, not just a point estimate (2) No need for prior distribution specification, only original $t$-statistic and degrees of freedom are used","""What is the evidence for the effect from the replication attempt being comparable to what was found in the original study, or absent?"" - ""Are the replication results more consistent with the original study or with a null effect?"" ",Yes,Replication; Replicability; Repeatability,Different data - same analysis,Reproducibility (direct and conceptual replication),One original and one replication study,To quantify (continuous) ,Quantifies the evidence for the replication hypothesis,A formula,Quantitative and objective,"Unclear implementation and/or hard to implement from scratch, but Ready-to-use open source tool: authors provide R code \href{https://www.josineverhagen.com/?page_id=76}{https://www.josineverhagen.com/?page_id=76}",Results - numbers and tables,(1) $H_r$ has to be specified precisely (2) assumes that the data from both experiments are structurally comparable,"(1) When the original experiment did not find an effect, there is no “proponent” (2) may suffer from the replication-paradox, where a method flags replication success even though the sign of the original and replication study go in the opposite direction",\cite{verhagen_bayesian_2014},"\cite{zwaan_making_2018, dixon_assessing_2020, heirene_call_2021, muradchanian_how_2021, baig_bayesian_2022}",\cite{wagenmakers_registered_2016}
Significance criterion,"vote counting, two-trials rule, regulatory agreement","For an original-replication study pair, replication success is concluded when both original study and replication study find a statistically significant effect, in the same direction. This can be done either with directional two-sided hypothesis tests, or via a one-sided test. For a continuous assessment of reproducibility, $\max(p_o, p_r)$ can be used, where $p_o$ and $p_r$ are the $p$-values from the original and replication, respectively. ",(1) Simplicity,"""Do the original and replication study both find a statistical significant effect in the same direction?""",No,Replication,Different data - same analysis; Same data - different analysis; Different data - different analysis,"Reproducibility (direct and conceptual replication), repeatability, robustness, generalizability, translatability","One original and one replication study; or several original-replication study pairs, or several replications","To classify (binary, yes or no); To quantify (continuous)",Classification for an original-replication study pair; Quantification if aggregated over several original-replication study pairs,A formula,Quantitative and objective,Easy to implement,Results - numbers and tables,"(1) Same population, there is a single true underlying effect size","(1) Ignores the magnitude of the effect (2) Not applicable for ""null"" findings \citep{pawel_replication_2024} (3) A difference in significance does not always indicate that the difference is significant \citep{gelman_difference_2006, nieuwenhuis_erroneous_2011} (4) Probability that the method flags replication failure when effects estimates are the same can be quite high",,"\cite{anderson_theres_2016, heirene_call_2021, schauer_evaluation_2021, schauer_reconsidering_2021, bonett_design_2021, fletcher_how_2021, muradchanian_how_2021, steiner_correspondence_2023}","\cite{irvine_law_2018, naudet_data_2018, boyce_eleven_2023, hoogeveen_many-analysts_2023, botvinik-nezer_variability_2020, huntington-klein_influence_2021, errington_investigating_2021, soto_how_2019, schweinsberg_same_2021, balli_interaction_2013, arroyo-araujo_systematic_2022, silberzahn_many_2018, low_comparison_2017, arroyo-araujo_reproducibility_2019, camerer_evaluating_2018, fisar_reproducibility_2024, camerer_evaluating_2016, cheung_registered_2016, open_science_collaboration_estimating_2015, wagenmakers_registered_2016, chang_leveraging_2024, hanousek_rise_2008, cova_estimating_2021, ebersole_many_2016, klein_investigating_2014, brauer_data_2007, wang_emulation_2023, klein_many_2018, amaral_brazilian_2019, breznau_observing_2022, marcoci_predicting_2024}"
Difference in effect size,"Q-statistic, (meta-analytic) Q-test, difference test, Tukey’s post-hoc honest significant difference test","The original and replication effect sizes can be compared by calculating their difference together with its confidence interval. They can further be compared in a significance testing paradigm using the Q-statistic or difference test. Alternatively, when there is data for several original-replication study pairs, a paired t-test and/or Wilcoxon test can be applied on the effect size estimates for the original and replication studies. Tukey’s post-hoc honest significant difference test can be used to answer the question of how many replications produced results that were statistically indistinguishable from one another.",(1) Avoid dichotomous approach to thinking about study outcomes in which an effect is either true or false,"""To which degree do the effects from a replication study mirror the original""",No,Replication; Replicability; Direct replication,Different data - same analysis; Same data - different analysis; Different data - different analysis,"Reproducibility (direct and conceptual replication), repeatability, robustness, generalizability, translatability",One original and one replication study; or several replications (meta-analytic Q-test),"To quantify (continuous); To classify (binary, yes or no)",Classification for an original-replication study pair; Quantification of evidence against the null ,A formula,Quantitative and objective,Easy to implement; Ready-to-use open source tool: code provided on \href{https://supp.apa.org/psycarticles/supplemental/met0000189/met0000189_supp.html}{https://supp.apa.org/psycarticles/supplemental/met0000189/met0000189_supp.html},Results - numbers and tables,(1) All effect sizes are on the same scale; for Q-statistic they are normally distributed (2) Q-statistic defines replication in terms of heterogeneity of effects among a series of $k$ studies in which no particular study is privileged as different from all the others.,"(1) Caution when biases and QRPs might have inflated original effects (2) When applying over several original-replication study pairs, there can be inconsistency in definition of replication, as all findings can fail to replicate, but averaging across findings ignores this. (3) The null hypothesis of the Q test is that the studies replicate, and hypothesis tests cannot prove that the null hypothesis is true. (4) Q-test has low power to detect replication success (5) Evaluation of replication via estimation is not sufficiently sensitive to obtain unambiguous conclusions when there is only a single replication study",\cite{hedges_statistical_2019} (Q-statistic for reproducibility),"\cite{mathur_challenges_2019, hedges_more_2019, schauer_assessing_2020, hedges_design_2021, heirene_call_2021, schauer_evaluation_2021, schauer_reconsidering_2021, bonett_design_2021, fletcher_how_2021, steiner_correspondence_2023}","\cite{irvine_law_2018, milcu_genotypic_2018, naudet_data_2018, hoogeveen_many-analysts_2023, ebersole_many_2020, huntington-klein_influence_2021, errington_investigating_2021, schweinsberg_same_2021, arroyo-araujo_systematic_2022, silberzahn_many_2018, camerer_evaluating_2018, hagger_multilab_2016, cheung_registered_2016, wang_reproducibility_2022, open_science_collaboration_estimating_2015, amini_comparison_2012, wagenmakers_registered_2016, coretta_multidimensional_2023, chang_leveraging_2024, hanousek_rise_2008, ebersole_many_2016, klein_many_2022, brauer_data_2007, wang_emulation_2023, bouwmeester_registered_2017, klein_many_2018, amaral_brazilian_2019, page_reprise_2021, breznau_observing_2022, marcoci_predicting_2024}"
Confidence interval: original effect in replication 95\% CI,Coverage,"For an original-replication study pair, this metric entails a binary check on whether the original effect size is included in the 95\% confidence interval of the replication effect size. When several original-replication study pairs are considered, coverage is calculated as the proportion of pairs in which the original effect was in the CI of the replication.",(1) Avoid dicotomous approach to thinking about study outcomes in which an effect is either true or false,"""Given an original effect size, (what is the probability that) does a repetition of the experiment, with an independent sample of participants, produce(s) a CI that overlaps with the original effect?""",Yes,Replication,Different data - same analysis,Reproducibility (direct and conceptual replication),One original and one replication study; or one original and many replication studies,"To quantify (continuous); To classify (binary, yes or no)",Classification for an original-replication study pair. Quantification possible with more than one replication.,A formula,Quantitative and objective,Easy to implement,Results - numbers and tables,"(1) Same population, there is a single true underlying effect size","(1) Ignores uncertainty in original study (2) Caution when biases, QRPs and low power might have inflated original effects (3) Probability that the method flags replication failure when effects estimates are the same can be quite high",\cite{brandt_replication_2014},"\cite{fletcher_how_2021, schauer_reconsidering_2021}","\cite{errington_investigating_2021, camerer_evaluating_2016, open_science_collaboration_estimating_2015, wagenmakers_registered_2016, cova_estimating_2021}"
Confidence interval: replication effect in original 95\%CI,Capture probability,"For an original-replication study pair, this metric entails a binary check on whether the replication effect size is included in the 95\% confidence interval of the original effect size. When several replication studies are performed the shares of replications in that interval is captured via the capture probability, which is defined as the percentage of replication means that (will) fall within a given original CI.",(1) Avoid dicotomous approach to thinking about study outcomes in which an effect is either true or false,"""Given an effect size and 95\% CI, (what is the probability that) does a repetition of the experiment, with an independent sample of participants, give(s) an effect that falls within the original CI?""",Yes,Replication,Different data - same analysis,Reproducibility (direct and conceptual replication),One original and one replication study; or one original and many replication studies,"To quantify (continuous); To classify (binary, yes or no); To predict ",Classification for an original-replication study pair. Quantification possible with more than one replication.,A formula,Quantitative and objective,Easy to implement,Results - numbers and tables,"(1) Same population, there is a single true underlying effect size",(1) Ignores uncertainty in replication study (2) If original power too low and relatively broad CI covers zero \citep{asendorpf_recommendations_2013} (3) Caution when biases and QRPs might have inflated original effects,\cite{brandt_replication_2014},"\cite{cumming_confidence_2006, heirene_call_2021}","\cite{errington_investigating_2021, chang_leveraging_2024, wang_emulation_2023}"
Prediction interval: replication effect in original 95\% prediction interval,,"Using the findings (effect size and variation) of the original study, and the expected variation of the replication study (linked to its sample size), compute the 95\% prediction interval. This can be used to predict the effect size of the replication study or, for a binary criterion of replication success, check whether the replication effect size is included in the prediction interval. \cite{schauer_reconsidering_2021} further show how the metric based on the prediction interval is related to the Q-test. ",(1) Accounts for some of the heterogeneity in study outcomes (2) Can incorporate the variation in both the original and the replication study,"""Do the findings from the replication study align with a reasonable expectation, given the observed variation in the original study and replication study?"" -  ""Are the replication estimates statistically consistent with the original estimates?""",Yes,Replication; Replicability,Different data - same analysis,Reproducibility (direct and conceptual replication),Original finding only; one original and one replication study; or one original and many replication studies,"To quantify (continuous); To classify (binary, yes or no); To predict ",Classification for an original-replication study pair. Quantification possible with more than one replication; Prediction possible for single original studies,A formula,Quantitative and objective,Easy to implement,Results - numbers and tables; sample size of the replication study,"(1) Same population, there is a single true underlying effect size",(1) Not sensitive to replication failures: a wide prediction interval can lead to large coverage probabilities (2) the test has low power to detect differences between effects,\cite{patil_what_2016},"\cite{heirene_call_2021, schauer_evaluation_2021, schauer_reconsidering_2021, fletcher_how_2021}","\cite{boyce_eleven_2023, errington_investigating_2021, camerer_evaluating_2016}, \cite{amaral_brazilian_2019} checked original effect in 95\% prediction interval of replications"
Small Telescopes,,"Based on the sample size and the statistical test performed in the original study, the effect that the original study has 33\% power to detect, $d_{33}$, is computed. If the effect size of the replication study is significantly different from $d_{33}$, a replication failure is concluded. ",(1) Combines significance testing and comparing effect sizes (2) Involves a smallest effect size of interest,"""Are the replication results consistent with an effect size big enough to have been detectable in the original?""",Yes,Replication; Replicability; Repeatability; Reproducibility,Different data - same analysis,Reproducibility (direct and conceptual replication),One original and one replication study,"To quantify (continuous); To classify (binary, yes or no)","Classification for an original-replication study pair. Quantification of the evidence that the replication effect size is smaller than a ""small effect""",A formula,Quantitative and objective,Ready-to-use open-source tool: R code provided via \href{https://osf.io/adweh/files/osfstorage}{https://osf.io/adweh/files/osfstorage},Results - numbers and tables,(1) Requires a replication samples size roughly 2.5 times the origninal to deterct the $d_{33}$. ,(1) Large sample size requirement might not be feasible (2) Does not directly provide positice evidence for replication success,\cite{simonsohn_small_2015},"\cite{zwaan_making_2018, heirene_call_2021, dixon_assessing_2020, muradchanian_how_2021, costigan_performing_2024}",
